%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1531943810963310395,653,1531943810962830689,base_link,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.04822897911,-0.148679882288,0.18908059597,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.8240369,-0.32361945,14.81784815,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943811376792958,654,1531943811376452610,base_link,-0.115040466481,0.0463108334785,-0.108915435493,-0.986285164486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.408364027739,-0.191197872162,0.111469060183,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.06864655,0.3530394,11.83662655,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943811751721326,655,1531943811751139669,base_link,0.0893909549218,0.0853818927019,-0.110568628532,-0.986150986392,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.13595020771,0.0584399700165,-0.0143232503906,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.14709975,0.40207265,11.8856598,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943812045636073,656,1531943812045262574,base_link,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.777475893497,-0.0152240563184,0.0192843638361,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.2941995,-0.18632635,9.89490985,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943812403996438,657,1531943812402769541,base_link,0.297462736201,0.099476162262,-0.109967832473,-0.943147649912,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.232116565108,-0.137537032366,0.26390427351,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.372931,-0.40207265,8.12971285,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943812812059050,658,1531943812811618351,base_link,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.283766031265,-0.288865119219,0.30848005414,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.81423025,-0.2745862,11.05209455,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943813352840975,659,1531943813351530559,base_link,0.374671410681,0.217356371889,-0.299898862849,-0.849963654328,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.105808258057,-0.509014129639,0.288842856884,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,3.57942725,-0.02941995,18.4757286,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943813677620625,660,1531943813677341364,base_link,0.350326033984,0.275605336072,-0.383530294025,-0.808837364497,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0454044826329,-0.569727957249,0.428021878004,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,3.40290755,-0.4707192,18.2992089,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943814007042648,661,1531943814006330689,base_link,0.328264529387,0.322558127562,-0.472648891994,-0.751532885499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0256094112992,-0.600879848003,0.449950039387,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,3.0989014,-0.04903325,17.2008641,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943814331942913,662,1531943814327898772,base_link,0.288277570057,0.367327244058,-0.551564230681,-0.691190015703,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.256349921227,-0.679751455784,0.357788085938,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,2.8047019,-0.9218251,16.2398124,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943814739795375,663,1531943814739237942,base_link,0.226108829297,0.40992685242,-0.650250186156,-0.598338924342,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2301761657,-0.560435831547,0.39729475975,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,2.7262487,-0.30400615,19.93691945,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943815065878762,664,1531943815065629710,base_link,0.162997675495,0.416341107835,-0.721099750799,-0.529251347762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.559202075005,-0.650298953056,0.31594902277,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,1.36312435,0.1569064,17.6911966,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943815523144465,665,1531943815522741783,base_link,0.0330060528884,0.385235395776,-0.816158322496,-0.429406430941,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.723986506462,-0.452043622732,0.270409703255,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.44129925,0.0392266,17.46564365,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943815917907599,666,1531943815917549076,base_link,-0.0612180059232,0.252949559137,-0.893310599603,-0.366421954745,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.927370011806,-0.160982385278,0.144796937704,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.14709975,0.26477955,10.9246081,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943816171819784,667,1531943816171552779,base_link,-0.11635226086,0.138773124259,-0.923312717668,-0.338670631689,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.983466625214,-0.0304964352399,0.179187878966,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1176798,-0.1569064,11.40513395,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943816571451476,668,1531943816570664926,base_link,-0.135001096802,0.00524643866948,-0.943464530681,-0.302691027436,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.582703113556,0.285023331642,0.00438828533515,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.10787315,0.69627215,7.01175475,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943816933792535,669,1531943816933415452,base_link,-0.120410275198,-0.078030566597,-0.938085196585,-0.315291548017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12123670429,0.144283547997,-0.192706421018,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.20593965,0.3530394,5.85457005,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1531943817479285470,670,1531943817478890627,base_link,-0.0556786382508,-0.127272692989,-0.926922025484,-0.348593042866,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.097155623138,0.347682505846,-0.0697623118758,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.2549729,-0.42168595,3.69710705,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
