%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fluid_pressure,field.variance
1531943810883316762,2310,1531943810882826784,base_link,97310.4980469,0.0
1531943810958577559,2311,1531943810958133181,base_link,97310.4980469,0.0
1531943811062952770,2312,1531943811061840688,base_link,97329.1931152,0.0
1531943811153503583,2313,1531943811153166979,base_link,97341.6931152,0.0
1531943811245127118,2314,1531943811244522581,base_link,97329.2236328,0.0
1531943811366198181,2315,1531943811365744011,base_link,97313.0004883,0.0
1531943811483238224,2316,1531943811478326190,base_link,97310.0280762,0.0
1531943811587495773,2317,1531943811586099311,base_link,97306.9824219,0.0
1531943811671564429,2318,1531943811671178002,base_link,97299.2736816,0.0
1531943811775446047,2319,1531943811774945670,base_link,97296.0266113,0.0
1531943811882217869,2320,1531943811881438103,base_link,97294.5739746,0.0
1531943811977443502,2321,1531943811977085970,base_link,97295.1171875,0.0
1531943812073342376,2322,1531943812073060332,base_link,97295.1171875,0.0
1531943812179766365,2323,1531943812176751843,base_link,97291.4367676,0.0
1531943812284635622,2324,1531943812284243979,base_link,97304.9560547,0.0
1531943812381746193,2325,1531943812381118233,base_link,97286.9445801,0.0
1531943812477946824,2326,1531943812477575853,base_link,97279.9804688,0.0
1531943812576794814,2327,1531943812576093318,base_link,97281.854248,0.0
1531943812657366684,2328,1531943812657096991,base_link,97281.854248,0.0
1531943812787269990,2329,1531943812786655693,base_link,97293.4509277,0.0
1531943812859762154,2330,1531943812859175218,base_link,97293.4509277,0.0
1531943812984677780,2331,1531943812982756812,base_link,97290.5456543,0.0
1531943813088578892,2332,1531943813088191280,base_link,97298.1689453,0.0
1531943813152783452,2333,1531943813152088325,base_link,97298.1689453,0.0
1531943813352967245,2334,1531943813348250697,base_link,97294.0307617,0.0
1531943813388206061,2335,1531943813383748454,base_link,97292.364502,0.0
1531943813451435082,2336,1531943813451006159,base_link,97292.364502,0.0
1531943813573136704,2337,1531943813572788772,base_link,97287.6220703,0.0
1531943813675569483,2338,1531943813673291368,base_link,97288.7145996,0.0
1531943813846865579,2339,1531943813845838136,base_link,97283.8623047,0.0
1531943813891032218,2340,1531943813890628863,base_link,97279.901123,0.0
1531943813974606356,2341,1531943813974316024,base_link,97283.0627441,0.0
1531943814057503352,2342,1531943814051187272,base_link,97283.0627441,0.0
1531943814172574502,2343,1531943814172107819,base_link,97272.1557617,0.0
1531943814272890766,2344,1531943814271753596,base_link,97273.6938477,0.0
1531943814357517213,2345,1531943814357241568,base_link,97273.6938477,0.0
1531943814480495782,2346,1531943814477367374,base_link,97263.848877,0.0
1531943814563962308,2347,1531943814562836466,base_link,97263.848877,0.0
1531943814647924795,2348,1531943814647425218,base_link,97258.6303711,0.0
1531943814777468017,2349,1531943814776973559,base_link,97253.1555176,0.0
1531943814854689598,2350,1531943814854345219,base_link,97253.1555176,0.0
1531943814968568026,2351,1531943814967924835,base_link,97247.4975586,0.0
1531943815060800779,2352,1531943815060427919,base_link,97234.6130371,0.0
1531943815157251143,2353,1531943815155632155,base_link,97234.6130371,0.0
1531943815274817431,2354,1531943815270867977,base_link,97212.3474121,0.0
1531943815374955076,2355,1531943815374299117,base_link,97203.4423828,0.0
1531943815456766489,2356,1531943815456191137,base_link,97203.4423828,0.0
1531943815554196617,2357,1531943815551298893,base_link,97201.8493652,0.0
1531943815659787857,2358,1531943815659456789,base_link,97181.8237305,0.0
1531943815773624433,2359,1531943815773340116,base_link,97170.2392578,0.0
