%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1531943810890502942,998,1531943810886923691,map,19.4949512482,-0.396292716265,-0.0432585254312,1.43843221664,-0.524784803391,0.297618746758
1531943811116305337,999,1531943811115416485,map,19.2683525085,0.627214074135,1.0007288456,2.04822897911,-0.148679882288,0.18908059597
1531943811371488001,1000,1531943811370583181,map,18.8760986328,0.366526693106,1.83160805702,2.04822897911,-0.148679882288,0.18908059597
1531943811636387181,1001,1531943811635830869,map,18.1085548401,-0.0968089774251,2.72840046883,0.408364027739,-0.191197872162,0.111469060183
1531943811895638658,1002,1531943811894824780,map,17.3451747894,0.454347640276,3.12693881989,-1.13595020771,0.0584399700165,-0.0143232503906
1531943812113258220,1003,1531943812112339640,map,16.8927211761,1.29954528809,3.03962397575,-0.777475893497,-0.0152240563184,0.0192843638361
1531943812400469891,1004,1531943812396912496,map,16.7139987946,2.33887767792,2.49127268791,-0.777475893497,-0.0152240563184,0.0192843638361
1531943812633927622,1005,1531943812632502936,map,16.2134799957,3.70033025742,1.81975495815,-0.232116565108,-0.137537032366,0.26390427351
1531943812864325104,1006,1531943812862993633,map,15.5565729141,5.48348140717,1.49829030037,-0.283766031265,-0.288865119219,0.30848005414
1531943813109895709,1007,1531943813109222693,map,14.5506677628,7.99811506271,1.58462655544,-0.283766031265,-0.288865119219,0.30848005414
1531943813389420318,1008,1531943813388664615,map,12.7419700623,10.9165287018,1.86108934879,-0.105808258057,-0.509014129639,0.288842856884
1531943813612316366,1009,1531943813611524344,map,10.6073789597,13.3536748886,2.15109372139,-0.105808258057,-0.509014129639,0.288842856884
1531943813923620540,1010,1531943813922365868,map,7.43210268021,15.7592477798,2.34857940674,0.0454044826329,-0.569727957249,0.428021878004
1531943814131874378,1011,1531943814126899433,map,5.19453191757,16.8507633209,2.41029667854,-0.0256094112992,-0.600879848003,0.449950039387
1531943814364164809,1012,1531943814360188987,map,1.72699940205,17.7928600311,2.54214644432,0.256349921227,-0.679751455784,0.357788085938
1531943814614766912,1013,1531943814612860248,map,-2.31422233582,17.9597644806,2.98458909988,0.256349921227,-0.679751455784,0.357788085938
1531943814858646924,1014,1531943814858095603,map,-5.75018930435,17.3823661804,3.26759433746,0.2301761657,-0.560435831547,0.39729475975
1531943815107692153,1015,1531943815106963843,map,-8.72879981995,16.0862731934,3.45707345009,0.559202075005,-0.650298953056,0.31594902277
1531943815378515511,1016,1531943815377851392,map,-11.6560678482,13.6349563599,4.23208856583,0.559202075005,-0.650298953056,0.31594902277
1531943815637453931,1017,1531943815636565047,map,-13.089094162,11.4513425827,4.7271566391,0.723986506462,-0.452043622732,0.270409703255
1531943815874636755,1018,1531943815873723166,map,-13.6536941528,9.58915424347,5.00855827332,0.723986506462,-0.452043622732,0.270409703255
1531943816104765014,1019,1531943816103645957,map,-13.4804258347,8.56424331665,5.14232826233,0.927370011806,-0.160982385278,0.144796937704
1531943816392800099,1020,1531943816391807408,map,-12.7568922043,7.80737686157,5.22584152222,0.983466625214,-0.0304964352399,0.179187878966
1531943816605655844,1021,1531943816603919162,map,-12.2931556702,7.67564678192,4.69766521454,0.582703113556,0.285023331642,0.00438828533515
1531943816835821323,1022,1531943816834986710,map,-11.8485059738,7.72576284409,3.62174582481,0.582703113556,0.285023331642,0.00438828533515
1531943817063710449,1023,1531943817062488800,map,-11.3322105408,7.89392471313,3.03838396072,0.12123670429,0.144283547997,-0.192706421018
1531943817333004081,1024,1531943817332274746,map,-10.7176771164,8.24305438995,2.08233237267,0.12123670429,0.144283547997,-0.192706421018
1531943817596247549,1025,1531943817595285417,map,-10.3592290878,8.5395488739,0.578305542469,-0.097155623138,0.347682505846,-0.0697623118758
1531943817831315148,1026,1531943817829215079,map,-10.1605272293,8.72142505646,-0.578548133373,-0.097155623138,0.347682505846,-0.0697623118758
1531943818049453778,1027,1531943818048106723,map,-10.037730217,8.91065979004,-1.52427744865,-0.247485652566,0.240839719772,-0.0541746281087
1531943818269613731,1028,1531943818269009258,map,-9.99551200867,9.11759567261,-2.39816331863,-0.247485652566,0.240839719772,-0.0541746281087
1531943818538661229,1029,1531943818537815640,map,-10.0203838348,9.41711425781,-2.96657538414,-0.0904142037034,0.0857492983341,-0.185951441526
1531943818844623591,1030,1531943818843300248,map,-10.0725812912,9.81020641327,-3.4324221611,0.0172535348684,0.0630395486951,-0.0521114170551
1531943818989404940,1031,1531943818988711444,map,-10.1213197708,10.0178775787,-3.53843426704,0.0172535348684,0.0630395486951,-0.0521114170551
1531943819242395430,1032,1531943819240705979,map,-10.2755250931,10.2966985703,-3.49863147736,0.0172535348684,0.0630395486951,-0.0521114170551
1531943819467877658,1033,1531943819467100611,map,-10.4573831558,10.5138778687,-3.36993861198,-0.154719412327,0.00504298321903,0.0319934114814
1531943819742106794,1034,1531943819740810170,map,-10.6674633026,10.7334537506,-3.05683946609,0.00964825972915,-0.145009204745,-0.0358195602894
1531943819971115089,1035,1531943819969671172,map,-10.7975873947,10.8405561447,-2.73915171623,0.00964825972915,-0.145009204745,-0.0358195602894
1531943820188828908,1036,1531943820188256211,map,-10.8555612564,10.9800138474,-2.19259500504,0.141607299447,-0.128241702914,-0.0308246463537
1531943820428539701,1037,1531943820427512162,map,-10.7887878418,11.0680398941,-1.79231846333,0.141607299447,-0.128241702914,-0.0308246463537
1531943820729025797,1038,1531943820726709730,map,-10.5963230133,11.1456041336,-1.23223865032,0.114318974316,-0.134247228503,0.00682967249304
1531943820984107469,1039,1531943820983062586,map,-10.3325300217,11.2164068222,-0.939729213715,0.0826206952333,-0.0609196089208,-0.063675917685
1531943821175725331,1040,1531943821175029916,map,-10.0088281631,11.3172159195,-0.877979695797,0.0826206952333,-0.0609196089208,-0.063675917685
1531943821451494048,1041,1531943821450283151,map,-9.47819042206,11.5729379654,-0.529268622398,0.165507018566,-0.0853922069073,-0.124968193471
1531943821662183129,1042,1531943821659120127,map,-8.97548961639,11.7925958633,-0.412784188986,0.165507018566,-0.0853922069073,-0.124968193471
1531943821957381523,1043,1531943821956010116,map,-8.29255580902,12.0331993103,-0.596739888191,0.0919082313776,-0.0279238782823,-0.0686655789614
1531943822134931181,1044,1531943822134243477,map,-7.89434194565,12.1954669952,-0.880940556526,0.190953999758,0.00889059621841,-0.263002604246
1531943822374140040,1045,1531943822373412689,map,-7.17669916153,12.5419492722,-1.27597725391,0.190953999758,0.00889059621841,-0.263002604246
1531943822610094892,1046,1531943822609448724,map,-5.92327451706,13.1809940338,-1.53875088692,0.611612558365,-0.0791478827596,-0.308182448149
1531943822892047666,1047,1531943822891083614,map,-4.36434459686,13.919219017,-1.67229402065,0.292934894562,-0.214551255107,-0.208498835564
1531943823170322475,1048,1531943823167559693,map,-2.56734752655,14.6290826797,-1.7573196888,0.292934894562,-0.214551255107,-0.208498835564
1531943823372477561,1049,1531943823371858977,map,-1.00999641418,15.0532217026,-1.93001616001,0.0655053630471,-0.179576769471,-0.474959015846
1531943823604525972,1050,1531943823603963355,map,0.683175325394,15.3005504608,-2.13479566574,0.118882440031,-0.292253732681,-0.389788091183
1531943823874539990,1051,1531943823873999165,map,3.19231319427,15.2680234909,-2.17175245285,0.118882440031,-0.292253732681,-0.389788091183
1531943824119924781,1052,1531943824119085592,map,5.60931539536,14.8525104523,-1.98203194141,0.0590702220798,-0.473059743643,-0.248604372144
1531943824398255406,1053,1531943824397529655,map,8.40389633179,13.8900413513,-1.53826117516,0.0590702220798,-0.473059743643,-0.248604372144
1531943824611739156,1054,1531943824611175483,map,10.4039669037,12.8279485703,-1.39369761944,0.179030269384,-0.357571154833,-0.367217481136
1531943824886363971,1055,1531943824885688652,map,12.8168706894,11.0670957565,-1.16808450222,0.179030269384,-0.357571154833,-0.367217481136
1531943825116006724,1056,1531943825115467851,map,14.7234067917,9.08117771149,-0.811127781868,-0.0496714711189,-0.573751926422,-0.295984566212
1531943825331547734,1057,1531943825330983677,map,15.9168758392,7.33881187439,-0.56168204546,-0.0496714711189,-0.573751926422,-0.295984566212
1531943825606951267,1058,1531943825604371267,map,17.1640129089,4.61533498764,0.18839083612,-0.331915229559,-0.436006784439,-0.351119160652
1531943825857003017,1059,1531943825856066901,map,17.6249389648,2.50399041176,0.802327692509,-0.393021076918,-0.332194596529,-0.216732606292
1531943826076637483,1060,1531943826075125437,map,17.6188468933,0.804499089718,1.34349119663,-0.500093340874,-0.227761670947,-0.208345785737
1531943826335954821,1061,1531943826334801460,map,17.3551959991,-0.237881243229,1.57684659958,-0.500093340874,-0.227761670947,-0.208345785737
1531943826571859394,1062,1531943826568875654,map,16.9462890625,-0.944442093372,1.62039363384,-0.669100642204,-0.0149485580623,-0.194219723344
1531943826807600384,1063,1531943826806602124,map,16.5723648071,-1.22789430618,1.97744047642,-0.669100642204,-0.0149485580623,-0.194219723344
1531943827071256326,1064,1531943827069499420,map,16.2232646942,-1.22329223156,1.97530341148,-0.435644805431,0.0272425040603,-0.0835534930229
1531943827330976451,1065,1531943827330267628,map,15.9468078613,-1.03311538696,1.76935386658,-0.151406764984,0.0072830170393,-0.0427022017539
1531943827577466499,1066,1531943827576634349,map,15.7152986526,-0.760424852371,1.76367998123,-0.151406764984,0.0072830170393,-0.0427022017539
